,PASSENGERID,SURVIVED,SEX,AGE,FARE,NEW_CABIN_BOOL,NEW_NAME_COUNT,NEW_NAME_DR,NEW_AGE_PCLASS,NEW_IS_ALONE,PCLASS_1,PCLASS_2,PCLASS_3,SIBSP_0,SIBSP_1,SIBSP_2,SIBSP_3,SIBSP_4,SIBSP_5,SIBSP_8,PARCH_0,PARCH_1,PARCH_2,PARCH_3,PARCH_4,PARCH_5,PARCH_6,EMBARKED_C,EMBARKED_Q,EMBARKED_S,NEW_NAME_WORD_COUNT_3,NEW_NAME_WORD_COUNT_4,NEW_NAME_WORD_COUNT_5,NEW_NAME_WORD_COUNT_6,NEW_NAME_WORD_COUNT_7,NEW_NAME_WORD_COUNT_8,NEW_NAME_WORD_COUNT_9,NEW_NAME_WORD_COUNT_14,NEW_TITLE_Master,NEW_TITLE_Miss,NEW_TITLE_Mr,NEW_TITLE_Mrs,NEW_TITLE_Rare,NEW_FAMILY_SIZE_1,NEW_FAMILY_SIZE_2,NEW_FAMILY_SIZE_3,NEW_FAMILY_SIZE_4,NEW_FAMILY_SIZE_5,NEW_FAMILY_SIZE_6,NEW_FAMILY_SIZE_7,NEW_FAMILY_SIZE_8,NEW_FAMILY_SIZE_11,NEW_AGE_CAT_mature,NEW_AGE_CAT_senior,NEW_AGE_CAT_young,NEW_SEX_CAT_maturefemale,NEW_SEX_CAT_maturemale,NEW_SEX_CAT_seniorfemale,NEW_SEX_CAT_seniormale
13,14,0,1,0.7397978973935528,0.35310901603977735,0,0.051502489812364265,0,1.627302079939436,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
14,15,0,0,-1.172608247216164,-0.7910362654711258,0,1.149902664826593,0,-0.6680120691546222,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15,16,1,0,1.9637378299437716,-0.393100301109041,0,0.6617248092647137,0,1.413072759357324,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16,17,0,1,-2.0905631966288283,0.24807791739035287,0,-0.8028087574209248,0,-1.7697628607197702,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
17,18,1,1,0.0513316853340547,-0.539655322480331,0,0.17354695370283416,0,-0.11713667337204822,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18,19,0,0,0.12782793111844337,-0.29539695352818096,0,2.248302839840822,0,0.8928015522293374,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
19,20,1,0,0.4338129142559981,-0.8217737386200644,0,-0.43667536574951527,0,1.2600518160843868,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20,21,0,1,0.4338129142559981,0.0954164367952591,0,-0.8028087574209248,0,0.18890521317382622,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21,22,1,1,0.3573166684716094,-0.539655322480331,1,-0.680764293530455,0,0.12769683586465133,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22,23,1,0,-1.0961120014317756,-0.7824872225578006,0,0.051502489812364265,0,-0.5761995031908599,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23,24,1,1,-0.10166080623472265,0.5595073378043441,1,0.17354695370283416,0,-1.0964707103188465,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
24,25,0,0,-1.6315857219224963,-0.14517805662260871,0,0.29559141759330404,0,-1.2188874649371961,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
25,26,1,0,0.6633016516091641,0.35860482934120075,0,2.248302839840822,0,1.5354895139756737,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
26,27,0,1,0.0513316853340547,-0.8217737386200644,0,-0.43667536574951527,0,0.8009889862655751,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27,28,0,1,-0.7901270182942207,2.0316232164746784,1,0.4176358814837739,0,-1.3719084082101334,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
28,29,1,0,-0.6371345267254434,-0.789814973626365,0,0.29559141759330404,0,-0.025324107408285897,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
29,30,0,1,0.0513316853340547,-0.7890040358414437,0,-0.9248532213113948,0,0.8009889862655751,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
30,31,0,1,0.8162941431779415,0.1794803970538311,0,-0.31463090185904535,0,-0.7292204464637971,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
31,32,1,0,0.4338129142559981,2.0316232164746784,1,2.248302839840822,0,-0.8822413897367344,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,33,1,0,-0.6371345267254434,-0.7961266098800885,0,-0.31463090185904535,0,-0.025324107408285897,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
33,34,0,1,2.7143572417030857,-0.661784506956406,0,-0.680764293530455,0,2.0136799617036027,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,35,0,1,-0.10166080623472265,2.0316232164746784,0,-0.43667536574951527,0,-1.0964707103188465,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
35,36,0,1,0.9692866347467188,1.3655599553464393,0,0.4176358814837739,0,-0.6680120691546222,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36,37,1,1,0.0513316853340547,-0.8215685615901446,0,-1.2909866129828045,0,0.8009889862655751,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37,38,0,1,-0.6371345267254434,-0.7814711077429595,0,-0.31463090185904535,0,-0.025324107408285897,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
38,39,0,0,-0.8666232640786095,-0.29539695352818096,0,0.9058137370456534,0,-0.3007618052995729,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
39,40,1,0,-1.172608247216164,-0.6255512205060441,0,0.051502489812364265,0,-0.6680120691546222,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
40,41,0,0,0.8162941431779415,-0.7118574725915968,0,2.248302839840822,0,1.7191146459031985,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41,42,0,0,-0.17815705201911133,-0.14884193215689093,0,2.248302839840822,0,-0.3007618052995729,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
42,43,0,1,0.0513316853340547,-0.7890040358414437,0,-0.9248532213113948,0,0.8009889862655751,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
43,44,1,0,-2.0140669508444398,0.8564864331111263,0,1.6380805203884727,0,-1.7697628607197702,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
44,45,1,0,-0.7901270182942207,-0.789814973626365,0,0.29559141759330404,0,-0.20894923933581055,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45,46,0,1,0.0513316853340547,-0.7814711077429595,0,-0.31463090185904535,0,0.8009889862655751,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
46,47,0,1,0.0513316853340547,-0.417526138004256,0,-1.1689421490923344,0,0.8009889862655751,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
47,48,1,0,-0.6371345267254434,-0.7961266098800885,0,-0.1925864379685755,0,-0.025324107408285897,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
48,49,0,1,0.0513316853340547,-0.1156618753184308,0,-0.9248532213113948,0,0.8009889862655751,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
49,50,0,0,-0.8666232640786095,-0.30516728828626694,0,2.248302839840822,0,-0.3007618052995729,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
50,51,0,1,-1.7080819677068848,0.7640737218017698,0,-0.07054197407810561,0,-1.3107000309009587,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
51,52,0,1,-0.6371345267254434,-0.793684026190567,0,0.17354695370283416,0,-0.025324107408285897,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
52,53,1,0,1.5047603552374396,2.0316232164746784,1,1.6380805203884727,0,-0.4537827485725101,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
53,54,1,0,-0.025164560450333974,0.0954164367952591,0,2.248302839840822,0,-0.1783450506812231,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
54,55,0,1,2.7143572417030857,1.8530605784358982,1,0.4176358814837739,0,0.030145984528153848,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
55,56,1,1,0.0513316853340547,0.5595073378043441,1,-1.1689421490923344,0,-1.0352623330096715,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
56,57,1,0,-0.6371345267254434,-0.661784506956406,0,-1.1689421490923344,0,-0.6680120691546222,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
57,58,0,1,-0.06341268334252831,-0.8215685615901446,0,-0.9248532213113948,0,0.6632701373199316,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
58,59,1,0,-1.8610744592756623,0.18090686592851163,0,0.17354695370283416,0,-1.6473461061014205,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
59,60,0,1,-1.40209698456933,1.1164164190152461,0,0.9058137370456534,0,-0.9434497670459092,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
60,61,0,1,-0.5606382809410547,-0.8215685615901446,0,-0.680764293530455,0,0.06648845855547644,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
61,62,1,0,0.6633016516091641,2.0316232164746784,1,-0.9248532213113948,0,-0.790428823772972,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
62,63,0,1,1.1987753720998848,2.0316232164746784,1,0.051502489812364265,0,-0.5761995031908599,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
63,64,0,1,-1.937570705060051,0.18823461699707605,0,-0.680764293530455,0,-1.5861377287922456,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
64,65,0,1,0.0513316853340547,0.1794803970538311,0,-0.680764293530455,0,-1.0352623330096715,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
65,66,1,1,-1.9758188279522453,-0.42994423348178334,0,-0.31463090185904535,0,-1.6320440117741266,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
66,67,1,0,-0.025164560450333974,-0.661784506956406,1,0.17354695370283416,0,-0.1783450506812231,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
67,68,0,1,-0.7901270182942207,-0.776180471471456,0,-0.31463090185904535,0,-0.20894923933581055,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
68,69,1,0,-0.9431195098629981,-0.7875775669667633,0,0.5396803453742438,0,-0.3925743712633352,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
69,70,0,1,-0.2546532978035,-0.7515494575463212,0,-1.1689421490923344,0,0.43373872241052575,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
70,71,0,1,0.20432417690283206,-0.661784506956406,0,-0.07054197407810561,0,0.005280081246301549,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
71,72,0,0,-1.0196157556473868,1.1164164190152461,0,-0.07054197407810561,0,-0.4843869372270976,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
72,73,0,1,-0.6371345267254434,2.0316232164746784,0,-0.8028087574209248,0,-0.6680120691546222,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
73,74,0,1,-0.2546532978035,-0.46861521845428766,0,0.051502489812364265,0,0.43373872241052575,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
74,75,1,1,0.20432417690283206,1.5851873103734548,0,-1.657120004654214,0,0.9846141181930997,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
75,76,0,1,-0.3311495435878887,-0.8010117772591314,1,-0.43667536574951527,0,0.34192615644676344,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
76,77,0,1,0.0513316853340547,-0.7890040358414437,0,-1.1689421490923344,0,0.8009889862655751,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
77,78,0,1,0.0513316853340547,-0.7814711077429595,0,-0.31463090185904535,0,0.8009889862655751,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
78,79,1,1,-2.180063804196563,0.24197145816654914,0,0.29559141759330404,0,-1.9025850394806798,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
79,80,1,0,0.0513316853340547,-0.5653024512203068,0,-0.31463090185904535,0,0.8009889862655751,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
80,81,0,1,-0.5606382809410547,-0.735062017642051,0,-0.8028087574209248,0,0.06648845855547644,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
81,82,1,1,-0.025164560450333974,-0.710636180746836,0,0.051502489812364265,0,0.7091764203018127,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
82,83,1,0,-0.6371345267254434,-0.7942946721129476,0,0.4176358814837739,0,-0.025324107408285897,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
